ident,uf,estrato_pof,tipo_situacao_reg,energia_kcal,ptn,chotot,fibra,lip,colest,agsat,agmono,agpoli,agtrans,calcio,ferro,sodio,magnesio,fosforo,potassio,cobre,zinco,vita_rae,tiamina,riboflavina,niacina,piridoxamina,cobalamina,vitd,vite,vitc,folato,idade,sexo,raca,anos_estudo,peso,altura,tipo_domicilio,tipo_piso
1300127091011,312,31296,24,4513.793992996216,144.9595379335806,711.1229051351547,69.18627987802029,135.9515823423863,1204.723855733872,37.79139927774668,38.08509990572929,38.52059914730489,4.059170027263463,610.5317141860724,26.55063927918673,5652.052521586418,433.4328633062542,2033.257361888886,4264.189554572105,1.797300008125603,18.61343006789684,686.7432003468275,1.951500001363456,3.329000037163496,21.19359973073006,2.348850061185658,8.549800008535385,5.877600029110909,9.123600007966161,658.3272758722305,995.2648147344589,87,1,4,0,97,175,1,1
1300153001111,507,50895,39,2337.270015716553,106.7146991137415,391.914600610733,18.65789979696274,42.1616009362042,264.826507806778,13.54799994640052,12.48799984902144,12.85100001096726,.7405000030994415,491.2107911407948,12.05799991637468,2338.080376327038,330.5468984022737,1097.400986194611,2410.760092973709,1.748900000005961,15.39359971880913,28.02630004286766,.5551999900490046,.6139999991282821,15.62350007891655,.2226999988779426,11.49499988555908,2.875000011175871,4.376399969682097,22.82750031352043,325.6734079122543,61,2,2,2,54,160,1,1
1300156061715,299,30199,46,2101.312043190002,86.87382856756449,362.0301411151886,28.66309928894043,40.02061012014747,232.5745034217835,12.27563004381955,12.05135986953974,10.69525993615389,.6427499838173389,508.8197736740112,8.294889971613884,1676.780100420117,343.1010732650757,947.7686023712158,3691.269324779511,1.090579997748137,5.267190057784319,1018.261781170964,.8387299932073802,.5992499776184559,17.19350028038025,.5678699896670878,3.865249954164028,2.209000003524125,5.988299941644073,38.31697964668274,274.0925520658493,69,2,4,0,75,175,1,1
1300156061716,299,30199,46,1985.573035240173,69.88251893222332,302.0764113664627,34.75634950399399,62.96269015222788,198.1515030860901,17.899120118469,23.603639729321,11.74124009534717,.4457499906420708,458.0001168251038,8.926359981298447,1152.151883363724,455.5798780918121,841.7106479406357,3829.387780189514,1.343869997188449,5.080360017716885,2294.410736300051,.7123699970543385,1.439249940216541,12.01950016617775,.5209799921140075,3.821749959141016,2.352999997325242,5.269399933516979,50.79276978969574,281.8521559238434,78,1,2,0,68,158,1,1
1300157081118,247,24871,19,1703.790023803711,95.10790076851845,224.6825001835823,12.55279977619648,49.84029915928841,367.3775014877319,14.8800000064075,17.65999981015921,12.27149992436171,.8956999899819493,317.7780981063843,4.850900009274483,1634.762392818928,201.0060992240906,963.0167770385742,1731.326698303223,.5834999978542328,7.947299852967262,58.0099990516901,.5430000014603138,.3660000115633011,25.63800048828125,.1720000030472875,1.435999989509583,0,1.720499984920025,9.35699987411499,96.31429791450501,66,2,2,0,70,165,1,1
1300157441313,117,11718,9,1212.460014343262,56.61359935626388,151.9615001678467,11.06990015506744,44.55669927597046,172.0808048248291,12.58349995687604,12.79370018839836,15.63150016963482,.4375999988988042,267.9238042235375,5.098099917173386,1106.702497243881,110.331899985671,652.3422985076904,1384.774486780167,.5366999916732311,11.33020030707121,97.59999847412109,.3313999995589256,.5183999910950661,9.168799877166748,.1780000003054738,3.31279993057251,2.469600111246109,1.882599949836731,17.45849990844727,58.39229965209961,68,2,2,0,72,160,1,1
1300173351315,455,45780,35,4446.669013977051,188.7373895645142,633.4021219015122,32.18621957302094,136.087330698967,673.2939977645874,42.4806900229305,45.30240003764629,37.20610024780035,3.144669990288094,852.5610576272011,22.97325980477035,4425.476427048445,623.4943186193705,2197.165931582451,5561.885435938835,2.515420027077198,22.86377944052219,726.7917441949248,2.192829962819815,2.470340034924448,44.34016990661621,2.031710014678538,6.09499990940094,.8745000250637531,5.625179998576641,86.1654991209507,552.863547205925,60,1,2,0,51,158,1,2
1300173351316,494,49704,38,7583.440040588379,286.3289036154747,1158.446188986301,63.12229931354523,214.3029021732509,894.0319933891296,59.80889980960637,67.02110004425049,70.19560102745891,4.905000087805092,1010.524394392967,39.78659978881478,6584.235120326281,1018.299100667238,3069.587870836258,9403.019990682602,3.837300025857985,38.92469964921475,838.2376059964299,2.956400008872151,3.245000055059791,55.95700010657311,3.489900044165552,12.09049999713898,1.401000037789345,10.51610008813441,170.4340005218983,1050.828384757042,84,1,1,0,84,173,1,1
1300193321311,364,36540,28,3225.049980163574,169.2365007996559,446.690993309021,29.56650030612946,91.23399896919727,1378.003967761993,27.6685000974685,25.40449933335185,30.9189996868372,1.604499999433756,589.1554985046387,29.86599950492382,4698.679495662451,380.4570035934448,2135.089960098267,3873.314512252808,24.66299991868436,16.40999989211559,26802.76096718758,2.401000007987022,7.58000011742115,57.23200058937073,1.93300005607307,118.9760030210018,4.579999923706055,8.880000166594982,288.8349961340427,1346.051015615463,67,1,2,0,74,163,1,1
1300212041013,403,40579,31,5105.224018096924,274.6595625802875,646.6094765663147,35.81509950757027,165.4369214773178,997.2270140647888,51.23836083337665,51.8712195456028,45.52201975882053,3.280499993357807,1140.338867560029,20.31447969051078,4236.013618052006,625.0451411418617,2931.8475946486,5225.398056507111,1.984260005876422,21.01208005845547,444.1768870949745,1.933859986253083,1.887500004842877,58.55800086259842,1.309240030590445,18.51999992132187,6.855999827384949,12.31780000776053,36.42365989089012,626.6490966677666,63,1,2,7,83,179,2,2
1300232231112,468,46980,36,4729.870025634766,160.2652992643416,648.1945975124836,30.50999955460429,149.148103415966,940.3483002185822,53.6677994504571,46.85710022598505,24.63769982010126,3.830000004731119,693.7436817884445,26.0294996611774,6570.415600121021,474.9880997389555,1980.546954870224,3878.130891680718,1.784100007265806,25.45250006020069,682.5796984136105,2.202500021085143,3.191100030206144,37.42400035262108,2.977800025604665,9.891899883747101,3.448300004005432,7.95410006120801,32.62399932183325,827.4109082221985,62,1,4,3,63,164,2,1
1300263201213,455,45605,35,4206.880023956299,161.5677010528743,624.2454921007156,28.46369993686676,124.8662024065852,558.5531051158905,35.96840080246329,39.22489991411567,33.23269995301962,1.224799999035895,999.1630959510803,15.96229971759021,6730.07500512898,517.8128009140492,2166.047919154167,5897.538962721825,1.964899979531765,17.41719955950975,299.0218028835952,2.34429999627173,1.727400016970933,29.30830007791519,1.424300021026284,10.6775000244379,3.642699912190437,8.393199905753136,1259.810929298401,925.8391106128693,64,1,4,0,58,165,1,3
1300274771312,312,31536,48,2678.81999206543,149.1477002501488,303.5165987014771,29.17640006542206,102.8931011781097,297.0870044231415,31.77400025725365,30.0000003837049,30.18999952077866,3.876500049605966,573.5242972970009,19.11399984639138,3253.500427871943,344.6904060319066,1498.78603297472,3470.819134354591,1.575899997726083,20.91160037368536,577.5332947261632,1.446199995465577,1.831500039435923,24.98499941825867,1.425700037740171,10.09899994730949,4.339999958872795,14.48139986023307,28.38499963283539,565.6194024085999,69,2,4,0,58,163,1,1
1300274861016,273,27510,21,2694.900024414063,181.364605396986,324.3172963857651,11.31709986925125,83.17029966041446,1025.447532653809,23.77979950048029,31.00560002774,18.002899736166,1.630499995313585,811.2382146716118,11.16379994153976,5155.534026712179,497.5861077308655,2441.472526550293,3112.214952707291,1.559100015088916,9.182600185275078,196.8959983065724,1.469200005754829,.9327999949455261,34.8655011728406,.4041000120341778,23.79680037498474,18.15249972045422,7.686799822375178,128.9099979400635,228.4515951871872,64,2,2,0,58,160,1,3
1300301791111,403,40424,31,4461.85004234314,145.0939999818802,715.6249984502792,33.40949940681458,120.4205002933741,348.7559993267059,27.87850019335747,36.78249998763204,49.40100139379501,1.736500008031726,380.8734965324402,25.64359960227739,4495.300063550472,642.8840003013611,1573.702964782715,5293.380873352289,2.32250003144145,14.36989957906189,564.45602145046,2.406999994069338,3.542499938048422,23.46300029754639,3.527999959886074,1.055999994277954,0,5.201999995857477,86.40300095081329,864.4145140647888,71,2,2,0,83,192,1,1
1300304531211,260,26180,20,2605.280010223389,238.9116042256355,224.1659973859787,14.88059985637665,86.72740138694644,893.1600189208984,28.87200004793704,25.15700002759695,22.37180025875568,1.361999973654747,1536.175218820572,7.680799975991249,2212.059598535299,476.8835988044739,2632.295970439911,4206.426376342773,1.130999989807606,10.39479993283749,33.90320022031665,.6292000012472272,.7600000016391277,35.52599969506264,.7090000086463988,40.11999988555908,16.37999987602234,9.560399858281016,39.02800108492374,301.6395965814591,71,1,4,1,45,140,1,3
1300304531212,234,23562,18,1839.950042724609,156.3218037486076,181.6640995740891,12.75599977374077,56.85300065204501,585.1559982299805,18.32700015418232,16.54250000044704,15.88330048322678,.694499995559454,1038.880496859551,4.913300052285194,1488.357525110245,334.1069955825806,1738.005526065826,2957.189493179321,.7944000018760562,6.952899865806103,22.62300024554133,.4158999985083938,.3989999927580357,22.90199992060661,.377700004260987,26.45999956130981,10.73399984836578,6.185300035402179,26.00600017607212,198.7494980096817,67,2,4,4,36,140,1,1
1300317611212,429,43065,33,4473.709953308106,210.9025971889496,633.7997961044312,47.54919979721308,130.9699997454882,813.5709884166718,46.7238997425884,37.31059994921088,31.75059963390231,3.791500012390316,947.9561856985092,21.8345997966826,5208.720098406076,414.6570028364658,2459.867410421372,4578.096092224121,1.694699995219708,15.06580024957657,968.4549048319459,2.003599995747209,2.324000005610287,83.01799982786179,1.845600028522313,3.800000034272671,1.699999965727329,11.02599999308586,217.6170020550489,823.310803771019,74,2,4,0,82,182,1,1
